n. intervista,clip_n,intervistato,VIDEO CHE DEVONO ESSERCI IL 15/6,Check website,top,estero,tema,data_intervista,nome_file,starter_id,clip_id,status,combinazione_colori,cover_titolo,check_length,sottopancia,parola_chiave_1,check_length,minutaggio_1,parola_chiave_2,check_length,minutaggio_2,parola_chiave_3,minutaggio_3,tags,srt_starter,srt_clip,thumb
20,2,Giuseppe Testa,,,,,la salute,16-Dec,,,,approvato - cambiare sottopancia?,Rosso/giallo,Nuove malattie,14,Medico e biologo molecolare,Malattie della longevità,24,0'10'',rapporto con l'ecosistema,25,0'47'',,,salute;sostenibile;generazioni;globale,,,img/thumbs/gtesta-thumb.png
20,3,Giuseppe Testa,,,,,la salute,16-Dec,,,,approvato - cambiare sottopancia?,Magenta/ciano,Vertigine digitale,18,Medico e biologo molecolare,Riprogrammare,13,0'21'',Avatar,6,0'36'',,,salute;digitale;scienza,,,img/thumbs/gtesta-thumb.png
21,1,Serena Giacomin,x,MN,,,il clima,16-Dec,,YnbAHpQBqG8,96ys25XnyS0,approvato dall'intervistato,Blu/verde,Riscaldamento globale,21,Meteorologa,Più caldo,9,0'13'',Microclima,10,0'36'',,,clima;territorio;diverso;sostenibile,,,img/thumbs/sgiacomin-thumb.png
21,2,Serena Giacomin,x,MN,,,il clima,16-Dec,,QHNfOpzTjB8,_UgnEMVVpsE,approvato dall'intervistato,Rosso/giallo,Una sfida da affrontare,23,Meteorologa,Ottimismo,9,0'14'',La giusta strada,16,1'06'',,,positivo;sostenibile;clima,,,img/thumbs/sgiacomin-thumb.png
21,3,Serena Giacomin,x,MN,,,il clima,16-Dec,,QjI4vaXoZW0,yN1LW393Prk,approvato dall'intervistato,Magenta/ciano,"Previsioni, non certezze",24,Meteorologa,Più dati,8,0'20'',Effetto farfalla,16,0'37'',,,tecnologico;big data;clima,,,img/thumbs/sgiacomin-thumb.png
22,1,Tomaso Poggio,x,MN,,,l'intelligenza artificiale,16-Dec,,UtsSlSuida8,WpKOCJIEqL0,approvato dall'intervistato,Blu/verde,Intelligente!,13,Scienziato cognitivo,L'intelligenza umana,20,0'26'',,,,,,scienza;tecnologico;intelligenza artificiale;smart,,,img/thumbs/
22,2,Tomaso Poggio,x,MN,,,l'intelligenza artificiale,16-Dec,,3D7HRyXhiTw,YQai2glRKnk,approvato dall'intervistato,Rosso/giallo,Babysitter di macchine,22,Scienziato cognitivo,parzialmente autonome,21,0'29'',algoritmi,9,1'16'',,,scienza;tecnologico;intelligenza artificiale;diverso;in movimento,,,img/thumbs/
22,3,Tomaso Poggio,x,MN,,,l'intelligenza artificiale,16-Dec,,8JBFItr0-DY,jCf1xsp9fHI,approvato dall'intervistato,Magenta/ciano,- lavoro + creatività,21,Scienziato cognitivo,Ingegneria sociale,18,0'45'',Riciclare la ricchezza,22,1'12'',,,lavoro;intelligenza artificiale;ricchezza;positivo,,,img/thumbs/
23,1,Bebe Vio,x,MN,Y,,la disabilità,20-Dec,,bEPxnfeD_vw,QRhYhlNENHo,approvato dall'intervistato,Blu/verde,50% robot,9,Atleta,Non abbiamo limiti,18,0'22'',,,,,,integrazione;tecnologico;opportunità;positivo;salute,,,img/thumbs/
23,2,Bebe Vio,x,MN,Y,,la disabilità,20-Dec,,jLu0ZQndeow,ZcxUaezPBmE,approvato dall'intervistato,Rosso/giallo,Accessibile per tutti,21,Atleta,Portare gli occhiali,20,0'16'',un mondo bellissimo,19,0'49'',,,integrazione;accessibile;minacce,,,img/thumbs/
23,3,Bebe Vio,x,MN,Y,,la disabilità,20-Dec,,YTv2JRICElw,I-ebM8JeFII,approvato dall'intervistato,Magenta/ciano,Disabilità in estinzione,24,Atleta,cose superbelle,15,0'18'',tutte persone normali,21,0'33'',,,integrazione;positivo;salute;visionario,,,img/thumbs/
24,1,Catia Bastioli,x,MN,,,la bioeconomia,23-Gen,,bSCRG9QuIC4,InSw6j5Ys64,approvato dall'intervistato,Blu/verde,Buona plastica,14,Scienziata e manager,utilizzare la CO2,17,0'29'',capitale naturale,17,0'57'',Risorse più limitate,1'15'',bio;tecnologico;Made in Italy;crescita;istituzioni;economia;territorio;rete,,,img/thumbs/
24,2,Catia Bastioli,x,MN,,,la bioeconomia,23-Gen,,atnjsUrg4Rs,jdDitYYmVaA,approvato dall'intervistato,Rosso/giallo,Fare sistema,12,Scienziata e manager,Rigenerazione territoriale,26,0'21'',Progetto di sviluppo,20,0'47'',A sistema,1'02'',territorio;materiali;crescita;rete;sostenibile;bio;in Europa,,,img/thumbs/
24,3,Catia Bastioli,x,MN,,,la bioeconomia,23-Gen,,Gokn-r6czjg,MD3cBwN-8jI,approvato dall'intervistato,Magenta/ciano,Primi in bioeconomia,20,Scienziata e manager,primi al mondo,14,0'20'',Modello sistemico,17,0'35'',,,materiali;sostenibile;crescita;rete;bio;Sud,,,img/thumbs/
25,1,Maurizio Molinari,x,MN,,,terrorismo,15-Dec,,IZT0K_wFZIg,uzaIinKgZ4A,approvato dall'intervistato,Blu/verde,Guerre di civiltà,17,Giornalista,adattarsi,9,0'40'',,,,,,terrorismo;minacce;identità;fede;valori,,,
25,2,Maurizio Molinari,x,MN,,,terrorismo,15-Dec,,ebW8m1Q37so,jdDitYYmVaA,approvato dall'intervistato,Rosso/giallo,Medio Oriente sorprendente,26,Giornalista,creare stabilità,16,0'33'',confederazioni,14,0'58'',convivenza,1'34'',minacce;positivo;diverso,,,
25,3,Maurizio Molinari,x,MN,,,terrorismo,15-Dec,,gTjKiiJQjCQ,eMRzHB-HvWo,approvato dall'intervistato,Magenta/ciano,Sicurezza e libertà,19,Giornalista,nel lungo termine,17,0'19'',patto sociale,13,0'36'',strutture cibernetiche,0'55'',minacce;terrorismo;digitale;informazione;immigrazione;legalità,,,
26,1,Titti Postiglione,x,MN,,,protezione civile,16-Gen,,07eI4KvAXos,RMHjM7UN-cE,approvato dall'intervistato,Blu/verde,Prevedere il rischio,20,Protezione Civile,comunità vulnerabili,20,0'45'',vulcani esplosivi,17,1'01'',rischio importante,1'20'',minacce;clima,,,
26,2,Titti Postiglione,x,MN,,,protezione civile,16-Gen,,wzVpKH0Bwls,K7KqC0xi4sI,approvato dall'intervistato,Rosso/giallo,Scelte strategiche,18,Protezione Civile,lavorare in prevenzione,23,0'22'',riduzione decisiva,18,0'41'',soldi risparmiati,1'22'',minacce;clima;territorio,,,
26,3,Titti Postiglione,x,MN,,,protezione civile,16-Gen,,IYBCXe-YAEg,DZIP6urR-_Y,approvato dall'intervistato,Magenta/ciano,Prevenzione calcolata,21,Protezione Civile,più ricorrenti,14,0'16'',dipende dall'uomo,17,0'27'',capacità di gestire,0'45'',minacce;istituzioni;ricerca;crescita;innovativo,,,
27,1,Esmeralda Elmazi,,,,,integrazione,18-Gen,,,,DA RIFARE,Blu/verde,,0,Avvocato,,0,,,0,,,,,,,
27,2,Esmeralda Elmazi,,,,,integrazione,18-Gen,,,,DA RIFARE,Rosso/giallo,,0,Avvocato,,0,,,0,,,,,,,
27,3,Esmeralda Elmazi,,,,,integrazione,18-Gen,,,,DA RIFARE,Magenta/ciano,,0,Avvocato,,0,,,0,,,,,,,
28,1,Elena Cattaneo,x,MN,,,neuroscienze,25-Gen,,TRC88RlOVP0,oQ8EqpxE7oA,approvato dall'intervistato,Blu/verde,Capire le cellule,17,Neuroscienziata,come si ammalano,16,0'18'',staminali,9,1'05'',neuroni dopaminergici,1'37'',scienza;salute;ricerca,,,
28,2,Elena Cattaneo,x,MN,,,neuroscienze,25-Gen,,I1Aln6ebKuM,lYx1G6CXwhU,approvato dall'intervistato,Rosso/giallo,Una scienza coraggiosa,22,Neuroscienziata,neuroetica,10,0'21'',accesso alle cure,17,0'56'',,,scienza;valori;equo,,,
28,3,Elena Cattaneo,x,MN,,,neuroscienze,25-Gen,,qSdQ7mOiCsY,21EDJZ4U25k,approvato dall'intervistato,Magenta/ciano,Valore alla ricerca,19,Neuroscienziata,giro di boa,11,0'15'',aleatorietà,11,1'02'',,,ricerca;scienza,,,
29,1,Enrico Moretti,x,MN,,,lavoro,25-gen,,V_VuSAyB6Zs,YZDf6Dt4c7g,approvato dall'intervistato,Blu/verde,Nuovi lavori,12,Economista,cambiamento nel mix,19,0'34'',capitale umano,14,0'53'',,,innovativo;lavoro;intelligenza artificiale,,,
29,2,Enrico Moretti,x,MN,,,lavoro,25-gen,,dG09zF4sk80,0I8A5DpsdvE,approvato dall'intervistato,Rosso/giallo,Città vincenti e perdenti,25,Economista,sempre più dinamiche,20,0'15'',qualità della vita,18,0'57'',,,città;crescita;qualità della vita;lavoro,,,
29,3,Enrico Moretti,x,MN,,,lavoro,25-gen,,7q7mQs3tnQ8,cC3KrMZ9uDg,approvato dall'intervistato,Magenta/ciano,Innovare e crescere,19,Economista,pochi incentivi,15,0'31'',impresa piccola,15,0'47'',ricerca e sviluppo,0'59'',economia;Made in Italy;innovativo;globale,,,
30,1,Francesco Daveri,x,MN,,,l'economia italiana,7-Feb,,rjA4546Zacg,7kAzqjTMdtk,approvato dall'intervistato,Blu/verde,Lavoro e produttività,21,Economista,al lavoro più a lungo,21,0'36'',nuovi imprenditori,18,1'22'',,,lavoro;generazioni;innovativo;scuola;economia;crescita,,,
30,2,Francesco Daveri,x,MN,,,l'economia italiana,7-Feb,,Hf-F79F86Hw,---29l1MfKU,approvato dall'intervistato,Rosso/giallo,Due vie per l'innovazione,25,Economista,ristrutturare,13,0'10'',andare lontano,14,0'44'',,,innovativo;economia;crescita,,,
30,3,Francesco Daveri,x,MN,,,l'economia italiana,7-Feb,,1yPEooClxoQ,KfpavdEkhFU,approvato dall'intervistato,Magenta/ciano,Previsioni più facili?,22,Economista,i dati che servono,18,0'29'',in tempo reale,14,1'00'',,,economia;big data,,,
31,1,Roberta Ceretto,x,MN,,,l'enogastronomia,7-Feb,,e4srq59eDHs,lixczsyMTiQ,approvato dall'intervistato,Blu/verde,Made in Italy del vino,22,Imprenditrice enogastronomica,tutte le età,12,0'51'',sfida reale,11,1'22'',nuovi mercati,1'42'',cibo;generazioni;Made in Italy;economia;globale;territorio,,,
31,2,Roberta Ceretto,x,MN,,,l'enogastronomia,7-Feb,,EPufihArGR4,kaYC2jHJ9F8,approvato dall'intervistato,Rosso/giallo,Fusion all'Italiana,19,Imprenditrice enogastronomica,"verdura, frutta, cereali",24,0'18'',il bello e il buono,19,0'50'',"cucina ""contaminata""",1'37'',cibo;bio;diverso;territorio;qualità della vita,,,
31,3,Roberta Ceretto,x,MN,,,l'enogastronomia,7-Feb,,sDkg8OPxuPQ,0Ea-OWsdVjo,approvato dall'intervistato,Magenta/ciano,"Cibo, vino, arte",16,Imprenditrice enogastronomica,creare strutture,16,0'18'',modernizzare,12,0'42'',,,cibo;arte;cultura;Made in Italy;innovativo;economia;territorio;qualità della vita,,,
32,1,Melinda Gates,x,MN,,Y,la filantropia,15-Feb,,hov4LIX1XoQ,Y8iwtHDGbyI,approvato dall'intervistato,Blu/verde,Understanding the needs,23,Philanthropist,having data,11,0'25'',,,,,,big data;positivo;salute,,,
32,2,Melinda Gates,x,MN,,Y,la filantropia,15-Feb,,UUp55K_Dr4w,L2iH3dSHAgo,approvato dall'intervistato,Rosso/giallo,Equality on women,17,Philanthropist,a crucial issue,15,0'28'',,,,,,femminile;equo;scuola;povertà,,,
32,3,Melinda Gates,x,MN,,Y,la filantropia,15-Feb,,DMa694bMPi8,wlZmqEvlFyQ,approvato dall'intervistato,Magenta/ciano,A focus for Philanthropy,24,Philanthropist,lead the way,12,0'20'',a learning journey,18,1'24'',,,visionario;positivo;valori,,,
33,1,Vito Mancuso,x,MN,,,la religione,16-Feb,,zytmAVPoEHs,HyFWg3bV438,approvato dall'intervistato,Blu/verde,Mura e ponti,12,Teologo,dà identità,11,0'22'',"un sistema, ma aperto",21,0'39'',,,identità;fede;globale;valori,,,
33,2,Vito Mancuso,x,MN,,,la religione,16-Feb,,hhDpq_kG1I4,CJuylkMZQyc,approvato dall'intervistato,Rosso/giallo,Dopo Francesco,14,Teologo,luogo di mediazione,19,0'26'',se dirà di sì,13,0'43'',,,fede;diverso;valori,,,
33,3,Vito Mancuso,x,MN,,,la religione,16-Feb,,TSDfxDk81bM,rRfGcipE7uA,approvato dall'intervistato,Magenta/ciano,La vera scommessa,17,Teologo,custodire homo sapiens,22,0'32'',tensione al compimento,22,0'54'',,,fede;tecnologico;valori,,,
34,1,Luciano Floridi,x,MN,,,i diritti,16-Feb,,OvF6A27ad9Y,5vxgIgdCZtw,approvato dall'intervistato,Blu/verde,Diritti da rimescolare,22,Filosofo,Cose in altre cose,18,0'12'',la mia identità,15,0'34'',Commissione mondiale,1'38'',digitale;diritti;in Europa;istituzioni;positivo;identità,,,
34,2,Luciano Floridi,x,MN,,,i diritti,16-Feb,,K2JwX1lU-ZQ,NeozQDFeca8,approvato dall'intervistato,Rosso/giallo,Fra Stato e California,22,Filosofo,Controllo dei dati,18,0'16'',Acquistati,10,1'00'',,,diritti;big data;economia;identità,,,
34,3,Luciano Floridi,x,MN,,,i diritti,16-Feb,,gkb26A5jA_Q,DGpNn3fNmuc,approvato dall'intervistato,Magenta/ciano,Democrazia digitale?,20,Filosofo,Ingovernabilità,15,0'33',Scambiarsi idee,15,0'44'',,,digitale;opportunità;istituzioni;valori,,,
35,1,Fabiola Gianotti,x ,MN,Y,,la fisica,22-Mar,,oIVTFWAPcnw,gIU-OXNVSio,approvato dall'intervistato,Blu/verde,Domande aperte,14,Direttore Generale CERN,punto interrogativo,19,0'41'',,,,,,scienza;ricerca;visionario,,,
35,2,Fabiola Gianotti,x ,MN,Y,,la fisica,22-Mar,,TD6l6ycLbWU,5IkOc1lP2ns,approvato dall'intervistato,Rosso/giallo,Applicazioni della fisica,25,Direttore Generale CERN,evoluzione dell’universo,24,0'19'',tecnologie di punta,19,0'37'',acceleratori,1'03'',scienza;tecnologico;ricerca;salute,,,
35,3,Fabiola Gianotti,x ,MN,Y,,la fisica,22-Mar,,VY_3lDJ24Ls,HnS_jZqgEJ4,approvato dall'intervistato,Magenta/ciano,Fisica al femminile,19,Direttore Generale CERN,carriere scientifiche,21,0'54'',,,,,,scienza;femminile;giovane,,,
36,1,Lorenzo “Jovanotti” Cherubini,x,MN,Y,,la musica,1-Mar,,tN851uklA20,HfdmwADCLKc,approvato dall'intervistato,Blu/verde,Idee in musica,14,Cantautore,la forma canzone,16,0'13'',idee vincenti,13,1'22'',poetica,1'38'',musica;cultura;innovativo;accessibile;arte,,,
36,2,Lorenzo “Jovanotti” Cherubini,x,MN,Y,,la musica,1-Mar,,dRk9Yl3kepY,M8stERpijDY,approvato dall'intervistato,Rosso/giallo,Live!,5,Cantautore,una liturgia,12,0'22'',cambia la vita,14,0'51'',,,musica;cultura;arte,,,
36,3,Lorenzo “Jovanotti” Cherubini,x,MN,Y,,la musica,1-Mar,,riOluCL5UZU,fxe-VpIn-Ko,approvato dall'intervistato,Magenta/ciano,Al cuore della musica,21,Cantautore,informazione che emoziona,25,1'16'',solo grazie alla musica,23,1'26'',,,musica;arte;cultura;sentimenti,,,
37,1,Barbara Stefanelli,x,MN,,,il gender gap,17-Mar,,yTMlg5AI074,XPZhUTMCC7A,approvato dall'intervistato,Blu/verde,Femminismo digitale,19,Giornalista,non incassare,13,0'35'',He for she,10,0'52'',,,rete;femminile;minacce;opportunità;social,,,
37,2,Barbara Stefanelli,x,MN,,,il gender gap,17-Mar,,7splu0JT3U0,-LXipr5BCcY,approvato dall'intervistato,Rosso/giallo,Condivisione,12,Giornalista,dagli uomini,12,0'14'',capitale di tempo,17,0'53'',,,femminile;genitori e figli,,,
37,3,Barbara Stefanelli,x,MN,,,il gender gap,17-Mar,,YpBHmff2SPU,kFN0xewcgwc,approvato dall'intervistato,Magenta/ciano,Divari da chiudere,18,Giornalista,prima e meglio,14,0'17'',pay gap,7,0'43'',,,femminile;scuola;lavoro,,,
38,1,Laura Cozzi,,,,,l'energia,19 Apr,,,,approvato da Marco,Blu/verde,Rivoluzione verde,17,International Energy Agency,"più economico, più pulito",25,,paesi emergenti,15,,,,sostenibile;bio;positivo;qualità della vita;economia;innovativo,,,
38,2,Laura Cozzi,,,,,l'energia,19 Apr,,,,approvato da Marco,Rosso/giallo,Energia per tutti?,18,International Energy Agency,senza accesso all'energia,25,,più investimento,16,,,,minacce;salute;Sud;equo;povertà,,,
38,3,Laura Cozzi,,,,,l'energia,19 Apr,,,,approvato da Marco,Magenta/ciano,Paradigma digitale,18,International Energy Agency,piccoli produttori,18,,primi della classe,18,,,,digitale;economia;made in Italy;opportunità;smart,,,
39,1,Elon Musk,,,Y,Y,,4-May,,,,in attesa feedback Marco su rough edit,Blu/verde,,0,CEO Tesla,,0,,,0,,,,,,,
39,2,Elon Musk,,,Y,Y,,4-May,,,,in attesa feedback Marco su rough edit,Rosso/giallo,,0,CEO Tesla,,0,,,0,,,,,,,
39,3,Elon Musk,,,Y,Y,,4-May,,,,in attesa feedback Marco su rough edit,Magenta/ciano,,0,CEO Tesla,,0,,,0,,,,,,,
40,1,Justin Trudeau,,,Y,Y,politica,23-May,,,,riprese,Blu/verde,,0,Primo Ministro del Canada,,0,,,0,,,,,,,
40,2,Justin Trudeau,,,Y,Y,politica,23-May,,,,riprese,Rosso/giallo,,0,Primo Ministro del Canada,,0,,,0,,,,,,,
40,3,Justin Trudeau,,,Y,Y,politica,23-May,,,,riprese,Magenta/ciano,,0,Primo Ministro del Canada,,0,,,0,,,,,,,
41,1,Don Ciotti,,,,,,26-May,,,,ricevuto impilata da Paolo (https://drive.google.com/open?id=0B1kZKM2Rzgy_WGJEMVdJN21NRFE),Blu/verde,,0,Fondatore Libera,,0,,,0,,,,,,,
41,2,Don Ciotti,,,,,,26-May,,,,ricevuto impilata da Paolo (https://drive.google.com/open?id=0B1kZKM2Rzgy_WGJEMVdJN21NRFE),Rosso/giallo,,0,Fondatore Libera,,0,,,0,,,,,,,
41,3,Don Ciotti,,,,,,26-May,,,,ricevuto impilata da Paolo (https://drive.google.com/open?id=0B1kZKM2Rzgy_WGJEMVdJN21NRFE),Magenta/ciano,,0,Fondatore Libera,,0,,,0,,,,,,,
42,1,Henry Kissinger,,,,Y,,,,,,accettato,Blu/verde,,0,Diplomatico,,0,,,0,,,,,,,
42,2,Henry Kissinger,,,,Y,,,,,,accettato,Rosso/giallo,,0,Diplomatico,,0,,,0,,,,,,,
42,3,Henry Kissinger,,,,Y,,,,,,accettato,Magenta/ciano,,0,Diplomatico,,0,,,0,,,,,,,
43,1,Lara Favaretto,,,,,,,,,,accettato,Blu/verde,,0,,,0,,,0,,,,,,,
43,2,Lara Favaretto,,,,,,,,,,accettato,Rosso/giallo,,0,,,0,,,0,,,,,,,
43,3,Lara Favaretto,,,,,,,,,,accettato,Magenta/ciano,,0,,,0,,,0,,,,,,,
27b,1,Nadia Boukrezi,,,,,integrazione,8-Jun,,,,appuntamento,Blu/verde,,0,,,0,,,0,,,,,,,
27b,2,Nadia Boukrezi,,,,,integrazione,8-Jun,,,,appuntamento,Rosso/giallo,,0,,,0,,,0,,,,,,,
27b,3,Nadia Boukrezi,,,,,integrazione,8-Jun,,,,appuntamento,Magenta/ciano,,0,,,0,,,0,,,,,,,
44,1,Alessandro Baricco,,,,,,fine giugno,,,,accettato,Blu/verde,,0,,,0,,,0,,,,,,,
44,2,Alessandro Baricco,,,,,,fine giugno,,,,accettato,Rosso/giallo,,0,,,0,,,0,,,,,,,
44,3,Alessandro Baricco,,,,,,fine giugno,,,,accettato,Magenta/ciano,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,
,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,